symbolOfGene,geneNcbiID,geneNcbiType,diseaseUMLSCUI,diseaseName,diseaseType,disease_inheritance,disease_prevalence_class,disease_prevalence_geo_area,disease_prevalence_type,assocID,score,normalized_score,ei,el,numPMIDs,yearInitial,yearFinal,source
A2M,2,protein-coding,C1565662,Acute Kidney Insufficiency,[disease],,,,,alGFdZ4BHkeZZb257cVc,0.4,0.25806451612903225,1.0,,1,2013,2013,DisGeNET
A2M,2,protein-coding,C2609414,Acute kidney injury,[disease],,,,,N1KndZ4BHkeZZb25oeDP,0.4,0.25806451612903225,1.0,,1,2013,2013,DisGeNET
A2M,2,protein-coding,C0002395,Alzheimer's Disease,[disease],,,,,s3g5e54BHkeZZb25kkM-,0.85,0.5483870967741935,0.6842105263157895,,76,1991,2023,DisGeNET
A2M,2,protein-coding,C5203670,COVID-19 Virus Disease,[disease],,,,,JlTZdZ4BHkeZZb25LEtb,0.55,0.3548387096774194,1.0,,1,2020,2020,DisGeNET
A2M,2,protein-coding,C0009375,Colonic Neoplasms,[disease],,,,,53hae54BHkeZZb25-p-3,0.4,0.25806451612903225,1.0,,1,2004,2004,DisGeNET
A2M,2,protein-coding,C0011581,Depressive disorder,[disease],,,,,ox40e54BZ4eu0iZe7ezB,0.6,0.3870967741935484,0.75,,4,1976,2018,DisGeNET
A2M,2,protein-coding,C0206669,Hepatocellular Adenoma,[disease],,,,,OLNGeJ4Bu8jCkiVmZvjc,0.45,0.2903225806451613,1.0,,1,2004,2004,DisGeNET
A2M,2,protein-coding,C0019202,Hepatolenticular Degeneration,[disease],Autosomal recessive,"1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-9 / 100 000,1-9 / 1 000 000,1-9 / 1 000 000","Worldwide,Europe,Worldwide,France,Italy,Japan,China,Specific population,Specific population,Ireland,Germany,Finland,Finland","Prevalence at birth,Point prevalence,Point prevalence,Point prevalence,Prevalence at birth,Prevalence at birth,Point prevalence,Prevalence at birth,Point prevalence,Prevalence at birth,Prevalence at birth,Annual incidence,Point prevalence",gnAMep4BHkeZZb25Tu_Y,0.4,0.25806451612903225,1.0,,1,2013,2013,DisGeNET
A2M,2,protein-coding,C0021368,Inflammation,[phenotype],,,,,7261eZ4BHkeZZb25nZyk,0.5,0.3225806451612903,0.8571428571428571,,14,1984,2026,DisGeNET
A2M,2,protein-coding,C0022660,"Kidney Failure, Acute",[disease],,,,,bOCzep4Bu8jCkiVmcVo4,0.5,0.3225806451612903,1.0,,2,1987,2013,DisGeNET
A2M,2,protein-coding,C0023890,Liver Cirrhosis,[disease],,,,,YnEkep4BHkeZZb25wKyC,0.5,0.3225806451612903,1.0,,1,2016,2016,DisGeNET
